Inativo,Emp.,Dt.DAV,Unnamed: 3,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48.0,2024-01-18,480004014.0,1.0,,HOYA DAYNAMIC AR BLUE CONTROL,1.0,1150.0,,
,48.0,2024-01-18,480004015.0,1.0,,HOYA DAYNAMIC AR BLUE CONTROL,1.0,1150.0,,
,48.0,2024-01-18,480004016.0,1.0,,HOYA AMPLUS BLUE CR,1.0,1100.08,,
0,48.0,2024-01-18,480004016.0,1.0,,FL NV90838 C5,1.0,249.92,,
,48.0,2024-01-18,480004017.0,1.0,,HOYA TRIVEX BLUE,1.0,600.0,,
,48.0,2024-01-18,480004017.0,1.0,,FL,1.0,290.0,,
,48.0,2024-01-18,480004018.0,1.0,,LENTE MAXXEE BLUE,1.0,799.0,,
,48.0,2024-01-18,480004019.0,1.0,,LENTE CR INCOLOER,1.0,262.0,,
,48.0,2024-01-18,480004019.0,1.0,,MALU,1.0,290.0,,
,48.0,2024-01-18,480004019.0,1.0,,TROCA DE HASTES,1.0,20.0,,
,48.0,2024-01-18,480004022.0,1.0,,HOYA PLUS SENSITY,1.0,2010.0,,
,48.0,2024-01-18,480004022.0,1.0,,ARMAÇÃO,1.0,290.0,,
,11.0,2024-01-15,110003379.0,1.0,,POLY AR ,1.0,250.0,,
,11.0,2024-01-15,110003380.0,1.0,,SOLDA MOLA NA HASTE,1.0,60.0,,
,11.0,2024-01-15,110003381.0,1.0,,ARMAÇÃO JEAN MARCELL ,1.0,270.0,,
,11.0,2024-01-15,110003381.0,1.0,,CR AR,1.0,120.0,,
,11.0,2024-01-15,110003382.0,1.0,,OASYS DESCARTAVEL,1.0,250.0,,
,11.0,2024-01-15,110003383.0,1.0,,OTM VS 3117,1.0,320.0,,
,11.0,2024-01-15,110003383.0,1.0,,LENTE CR COLORIR CINZA 2 ,1.0,180.0,,
,11.0,2024-01-15,110003384.0,1.0,,SOLAR DIVERSOS,1.0,99.0,,
,11.0,2024-01-15,110003385.0,1.0,,OTM GU9002,1.0,199.0,,
,11.0,2024-01-15,110003385.0,1.0,,LENTE BLUE,1.0,350.0,,
,11.0,2024-01-15,110003386.0,1.0,,MULTI COM AR,1.0,740.0,,
,11.0,2024-01-16,110003387.0,1.0,,OTM BR5848,1.0,250.0,,
,11.0,2024-01-16,110003388.0,1.0,,CR BLUE AR,1.0,290.0,,
,11.0,2024-01-16,110003388.0,1.0,,BELLATIS,1.0,250.0,,
,11.0,2024-01-16,110003389.0,1.0,,BELLATIS,1.0,100.0,,
,11.0,2024-01-16,110003389.0,1.0,,LENTE COM AR,1.0,350.0,,
,11.0,2024-01-17,110003390.0,1.0,,MULTI BLUE AR,1.0,490.0,,
,11.0,2024-01-17,110003390.0,1.0,,BELLATIS FH10689,1.0,198.0,,
,11.0,2024-01-17,110003391.0,1.0,,OTM ISA19031,1.0,198.0,,
,11.0,2024-01-17,110003391.0,1.0,,CR AR,1.0,104.0,,
,11.0,2024-01-17,110003392.0,1.0,,ARGOS BLUE CONTROL,1.0,1000.0,,
,11.0,2024-01-20,110003394.0,1.0,,OTM VS3308 C5,1.0,286.0,,
,11.0,2024-01-20,110003394.0,1.0,,MULTI 1.56 AR,1.0,654.0,,
,11.0,2021-01-22,110003396.0,1.0,,TROCA DE MOLA,1.0,50.0,,
,12.0,2024-01-18,120001893.0,1.0,,ARMAÇÃO TM,1.0,29.9,,
,12.0,2024-01-18,120001893.0,1.0,,MULTI 1.56 BLUE AR,1.0,700.1,,
,12.0,2024-01-18,120001893.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,12.0,2024-01-18,120001893.0,1.0,,MULTI 1.56 COM GRAU,1.0,570.0,,
,12.0,2024-01-20,120001895.0,1.0,,OTM CH8139 C5,1.0,200.0,,
,12.0,2024-01-20,120001895.0,1.0,,LENTE COM AR 1.56,1.0,0.0,,
,12.0,2024-01-22,120001896.0,1.0,,SOLAR,1.0,50.0,,
,12.0,2024-01-22,120001897.0,1.0,,CONCERTO,1.0,15.0,,
,9.0,2024-01-16,900000577.0,1.0,,MULTI 1.56 COM AR,1.0,479.0,,
,9.0,2024-01-16,900000577.0,1.0,,MALU ACETATO FECHADO,1.0,0.0,,
,9.0,2024-01-17,900000578.0,1.0,,POLI BLUE AR ,1.0,459.0,,
,9.0,2024-01-17,900000579.0,1.0,,LENS WIPES,1.0,20.0,,
,9.0,2024-01-22,900000581.0,1.0,,LENTE CR AR BLUE ,1.0,380.0,,
,9.0,2024-01-22,900000581.0,1.0,,ARMAÇÃO METAL ,1.0,29.9,,
,9.0,2024-01-22,900000581.0,2.0,,SOLAR DE BRINDE,2.0,0.0,,
,9.0,1900-01-22,900000582.0,1.0,,POLI BLUE AR ,1.0,470.0,,
,9.0,2024-01-22,900000582.0,1.0,,TM METAL,1.0,30.0,,
 ,10.0,2024-01-04,100000835.0,1.0,,MULTI BLUE AR,1.0,600.0,,
,10.0,2024-01-04,100000835.0,1.0,,OTM NV90120 C1,1.0,240.0,,
,10.0,2024-01-04,100000836.0,1.0,,POLI BLUE AR ,1.0,199.0,,
,10.0,2024-01-04,100000837.0,1.0,,OTM SH2191 C2,1.0,120.0,,
,10.0,2024-01-04,100000837.0,1.0,,LENTE BLUE,1.0,300.0,,
,10.0,2024-01-05,100000837.0,1.0,,MULTI BLUE AR,1.0,1000.0,,
,10.0,2024-01-05,100000837.0,1.0,,OTM 80030 C6,1.0,220.0,,
,10.0,2024-01-05,100000837.0,1.0,,OTM 16010 C8,1.0,220.0,,
,10.0,2024-01-05,100000837.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,10.0,2024-01-08,100000839.0,1.0,,SOLAR COM GRAU,1.0,230.0,,
,10.0,2024-01-11,100000840.0,1.0,,LENTE BLUE COM AR,1.0,350.08,,
,10.0,2024-01-11,100000840.0,1.0,,BELLATIS VS3117 C3,1.0,249.92,,
,9.0,2024-01-24,900000583.0,1.0,,MULTI FOTO BLUE AR,1.0,600.0,,
,9.0,2024-01-24,900000583.0,1.0,,ARMAÇÃO METAL ,1.0,200.0,,
,9.0,2024-01-24,900000583.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,9.0,2024-01-24,900000584.0,1.0,,MULTI BLUE AR,1.0,500.0,,
,9.0,2024-01-24,900000584.0,1.0,,ARMAÇÃO TM,1.0,250.0,,
,9.0,2024-01-24,900000585.0,1.0,,MULTI BLUE AR,1.0,500.0,,
,9.0,2024-01-24,900000585.0,1.0,,ARMAÇÃO TM,1.0,250.0,,
,9.0,2024-01-24,900000586.0,1.0,,ARMAÇÃO TNG,1.0,150.0,,
,48.0,2024-01-24,480004026.0,1.0,,CONCERTO,1.0,50.0,,
,48.0,2024-01-25,480004028.0,1.0,,POLY BLUE AR,1.0,345.0,,
,48.0,2024-01-25,480004028.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,12.0,2024-01-24,120001902.0,1.0,,OTM SH2191 C2,1.0,99.0,,
,12.0,2024-01-24,120001902.0,1.0,,MULTI INCOLOR 1.49,1.0,200.0,,
,11.0,2024-01-23,110003395.0,1.0,,POLI BLUE AR CILINDRICO EXTENDIDO,1.0,599.0,,
,11.0,2024-01-24,110003397.0,1.0,,CR AR,1.0,198.0,,
,11.0,2024-01-24,110003398.0,1.0,,CR AR,1.0,198.0,,
,11.0,2024-01-24,110003399.0,1.0,,SOLAR ,1.0,100.0,,
,10.0,2024-01-23,100000843.0,1.0,,POLI BLUE AR,1.0,405.0,,
,10.0,2024-01-23,100000843.0,1.0,,OTM JC1153 C5,1.0,60.0,,
,10.0,2024-01-23,100000844.0,1.0,,TROCA DE MOLA,1.0,50.0,,
,10.0,2024-01-24,100000845.0,1.0,,CR BLUE AR,1.0,200.0,,
,10.0,2024-01-24,100000845.0,1.0,,OTM,1.0,190.0,,
,42.0,2024-01-02,420008433.0,1.0,,ARMAÇÃO 1837 C9,1.0,69.9,,
,42.0,2024-01-02,420008434.0,1.0,,TNG TNTR  7530 C5,1.0,270.0,,
,42.0,2024-01-02,420008435.0,1.0,,LENTE MAXX HOYA COM AR,1.0,800.0,,
,42.0,2024-01-02,420008435.0,1.0,,ARMAÇÃO SH2194 ,1.0,50.0,,
,42.0,2024-01-03,420008436.0,1.0,,SOLDA,1.0,39.0,,
,42.0,2024-01-03,420008437.0,1.0,,SOLDA,1.0,50.0,,
,42.0,2024-01-03,420008441.0,1.0,,SOLAR ,1.0,49.99,,
,42.0,2024-01-04,420008442.0,1.0,,LENTE MULTI BLUE AR,1.0,500.0,,
,42.0,2024-01-04,420008442.0,1.0,,ARMÇÃO 49838 C6,1.0,200.0,,
,42.0,2024-01-04,420008443.0,1.0,,LENTE MULTI AR,1.0,300.0,,
,42.0,2024-01-04,420008443.0,1.0,,ARMAÇÃO 498467 C8,1.0,100.0,,
,42.0,2024-01-04,420008444.0,3.0,,SOLARES,3.0,90.0,,
,42.0,2024-01-04,420008445.0,1.0,,38,1.0,90.0,,
,42.0,2024-01-05,420008446.0,2.0,,SOLARES ,2.0,39.98,,
,42.0,2024-01-05,420008447.0,1.0,,LENTE FOTO COM AR,1.0,400.0,,
,42.0,2024-01-05,420008447.0,1.0,,ARMAÇÃO OT49035,1.0,90.0,,
,42.0,2024-01-05,420008448.0,1.0,,SOLDA ,1.0,35.0,,
,42.0,2024-01-05,420008449.0,1.0,,SOLAR,1.0,100.0,,
,42.0,2024-01-05,420008450.0,1.0,,LENTE BLUE AR,1.0,150.0,,
,42.0,2024-01-05,420008450.0,1.0,,ARMAÇÃO BELLATIS SH2191 C1,1.0,50.0,,
,42.0,2024-01-05,420008451.0,1.0,,LENTE BLUE AR,1.0,150.0,,
,42.0,2024-01-05,420008451.0,1.0,,ISO1405,1.0,50.0,,
,42.0,2024-01-05,420008452.0,1.0,,LENTE 1.67 BLUE COM AR,1.0,700.0,,
,42.0,2024-01-05,420008452.0,1.0,,ANA HICKMANN,1.0,220.0,,
,42.0,2024-01-05,420008453.0,1.0,,MULTI AR,1.0,300.0,,
,42.0,2024-01-05,420008453.0,1.0,,ARMAÇÃO 498446,1.0,200.0,,
,42.0,2024-01-05,420008454.0,1.0,,LENTE MULTI COM AR,1.0,1000.0,,
,42.0,2024-01-05,420008454.0,1.0,,ARMAÇÃO ANA HICKMAN,1.0,300.0,,
,42.0,2024-01-05,420008455.0,1.0,,ARMAÇÃO ,1.0,250.0,,
,42.0,2024-01-05,420008456.0,1.0,,ARMAÇÃO OAKLEY SOLAR,1.0,200.0,,
,42.0,2024-01-06,420008458.0,1.0,,CR BLUE AR,1.0,220.0,,
,42.0,2024-01-06,420008459.0,1.0,,MULTI INCOLOR,1.0,300.0,,
,42.0,2024-01-08,420008459.0,1.0,,ARMAÇÃO BELLATIS,1.0,89.0,,
,42.0,2024-01-08,420008460.0,1.0,,POLI MULTI INCOLOR,1.0,300.0,,
,42.0,2024-01-08,420008460.0,1.0,,ARMAÇÃO OL LUXO,1.0,240.0,,
,42.0,2024-01-08,420008461.0,1.0,,BLUE CR,1.0,200.0,,
,42.0,2024-01-08,420008461.0,1.0,,ARMÇÃO BELLATIS,1.0,60.0,,
,42.0,2024-01-08,420008462.0,1.0,,LENTE MULTI DIGITAL BLUE AR,1.0,800.0,,
,42.0,2024-01-08,420008452.0,1.0,,ARMAÇÃO OL LUXO,1.0,200.0,,
,42.0,2024-01-08,420008463.0,1.0,,LENTE BLUE AR,1.0,300.0,,
,42.0,2024-01-08,420008463.0,1.0,,ARMAÇÃO OL LUXO,1.0,99.0,,
,42.0,2024-01-08,420008464.0,1.0,,LENTE 1.67 BLUE COM AR,1.0,600.0,,
,42.0,2024-01-08,420008464.0,1.0,,ARMAÇÃO BELLATIS,1.0,250.0,,
,42.0,2024-01-08,420008465.0,1.0,,LENTE POLI BLUE,1.0,500.0,,
,42.0,2024-01-08,420008465.0,1.0,,ARMAÇÃO FL,1.0,199.0,,
,42.0,2024-01-08,420008466.0,1.0,,MULTI POLI COM AR,1.0,600.0,,
,42.0,2024-01-08,420008466.0,1.0,,ARMAÇÃO TNG 381082,1.0,199.0,,
,42.0,2024-01-08,420008467.0,1.0,,MULTI COM AR,1.0,301.0,,
,42.0,2024-01-08,420008467.0,1.0,,ARMAÇÃO BELLATIS,1.0,200.0,,
